      S,       P,       R, SF,    ell_nu
1.0e+03, 4.0e+00, 2.5e+01,  0, 3.578e-01
1.0e+03, 4.0e+00, 5.0e+01,  0, 2.909e-01
1.0e+03, 4.0e+00, 5.0e+01,  1, 1.201e+00
1.0e+03, 4.0e+00, 1.0e+02,  0, 2.304e-01
1.0e+03, 4.0e+00, 1.0e+02,  1, 5.600e-01
1.0e+03, 4.0e+00, 2.0e+02,  0, 1.666e-01
1.0e+03, 4.0e+00, 2.0e+02,  1, 3.303e-01
1.0e+03, 4.0e+00, 4.0e+02,  0, 1.048e-01
1.0e+03, 4.0e+00, 4.0e+02,  1, 1.973e-01
1.0e+03, 4.0e+00, 8.0e+02,  0, 6.921e-02
1.0e+03, 4.0e+00, 8.0e+02,  1, 1.048e-01
1.0e+03, 4.0e+00, 1.6e+03,  0, 4.594e-02
1.0e+03, 4.0e+00, 1.6e+03,  1, 6.921e-02
1.0e+03, 4.0e+00, 3.2e+03,  0, 2.738e-02
1.0e+03, 4.0e+00, 3.2e+03,  1, 4.594e-02
1.0e+03, 4.0e+00, 6.4e+03,  0, 1.819e-02
